t,x,y,vd,xyd,nd,d,st
0,909.48,1128.67,0,0,6,6.16497,0
1,909.48,1128.77,0.00702671,0.445,6,6.02877,0
2,909.49,1128.77,0.00960198,0.00960168,6,6.06615,0
3,909.502,1128.77,0.0121736,0.0121732,6,6.06636,0
3,909.517,1128.77,0.01474,0.0147395,6,6.0666,0
4,909.534,1128.77,0.0172994,0.0172989,6,6.06688,0
4,909.554,1128.77,0.0198503,0.0198496,6,6.06721,0
5,909.577,1128.77,0.0223907,0.02239,6,6.06758,0
5,909.601,1128.77,0.024919,0.0249182,6,6.06799,0
6,909.629,1128.77,0.0274334,0.0274326,6,6.06845,0
6,909.659,1128.77,0.0299323,0.0299314,6,6.06894,0
7,909.691,1128.77,0.0324139,0.0324129,6,6.06947,0
7,909.726,1128.77,0.0348764,0.0348753,6,6.07005,0
7,909.763,1128.77,0.0373181,0.037317,6,6.07067,0
8,909.803,1128.77,0.0397374,0.0397361,6,6.07132,0
8,909.845,1128.77,0.0421324,0.0421311,6,6.07202,0
9,909.89,1128.77,0.0445014,0.0445,6,6.07275,0
9,909.937,1128.77,0.0468431,0.0468416,6,6.07353,0
10,909.986,1128.76,0.0491576,0.049156,6,6.07434,0
10,910.037,1128.76,0.0514453,0.0514437,6,6.07519,0
11,910.091,1128.76,0.0537068,0.0537051,6,6.07608,0
11,910.147,1128.76,0.0559426,0.0559408,6,6.077,0
11,910.205,1128.76,0.058153,0.0581512,6,6.07796,0
12,910.265,1128.76,0.0603388,0.0603369,6,6.07895,0
12,910.328,1128.76,0.0625002,0.0624982,6,6.07999,0
13,910.392,1128.76,0.0646378,0.0646358,6,6.08105,0
13,910.459,1128.76,0.0667521,0.06675,6,6.08215,0
14,910.528,1128.76,0.0688434,0.0688413,6,6.08329,0
14,910.599,1128.76,0.0709115,0.0709093,6,6.08445,0
15,910.672,1128.76,0.0729561,0.0729538,6,6.08566,0
15,910.747,1128.76,0.0749768,0.0749745,6,6.08689,0
15,910.824,1128.76,0.0769732,0.0769708,6,6.08815,0
16,910.903,1128.76,0.0789449,0.0789425,6,6.08945,0
16,910.984,1128.76,0.0808917,0.0808893,6,6.09078,0
17,911.067,1128.76,0.0828132,0.0828107,6,6.09213,0
17,911.151,1128.76,0.0847089,0.0847064,6,6.09352,0
18,911.238,1128.76,0.0865786,0.086576,6,6.09494,0
18,911.326,1128.75,0.0884219,0.0884193,6,6.09638,0
18,911.416,1128.75,0.0902384,0.0902357,6,6.09785,0
19,911.508,1128.75,0.0920277,0.092025,6,6.09935,0
19,911.602,1128.75,0.0937896,0.0937869,6,6.10088,0
20,911.698,1128.75,0.0955236,0.0955209,6,6.10243,0
20,911.795,1128.75,0.0972294,0.0972266,6,6.104,0
21,911.894,1128.75,0.0989066,0.0989038,6,6.1056,0
21,911.994,1128.75,0.100555,0.100552,6,6.10722,0
22,912.097,1128.75,0.102174,0.102171,6,6.10886,0
22,912.2,1128.75,0.103763,0.10376,6,6.11053,0
22,912.306,1128.75,0.105323,0.10532,6,6.11221,0
23,912.413,1128.75,0.106852,0.106849,6,6.11391,0
23,912.521,1128.75,0.10835,0.108347,6,6.11564,0
24,912.631,1128.74,0.109817,0.109814,6,6.11738,0
24,912.09,1128.75,0.0849232,0.037156,6,6.10845,0
25,912.184,1128.75,0.0970075,0.0970075,6,6.10731,0
25,912.284,1128.75,0.0994179,0.0994179,6,6.10564,0
25,912.385,1128.76,0.101129,0.101129,6,6.10397,0
26,912.488,1128.76,0.103532,0.103532,6,6.1032,0
26,912.594,1128.76,0.105222,0.105222,6,6.10237,0
27,912.701,1128.76,0.107606,0.107606,6,6.10303,0
